Italian,English
non,not
e,And
che,that
di,from
la,there
è,is
il,the
un,a
a,to
per,for
in,in
una,a
sono,I am
mi,me
ho,I have
si,Yes
lo,the
ha,has
ma,but
ti,you
le,the
cosa,what
con,with
i,the
da,from
se,self
come,as
no,no
io,I
ci,there
questo,this
hai,you have
qui,here
bene,well
sei,six
tu,you
del,of the
me,myself
al,to the
mio,my
solo,alone
sì,Yes
tutto,everything
te,you
era,was
più,more
della,from the
gli,the
lei,she
mia,my
ne,neither
questa,this
fare,do
quando,when
perché,because
ora,Now
essere,to be
fatto,done
va,it goes
so,so
o,or
mai,never
così,Like this
chi,who
detto,said
alla,at the
tutti,all
quello,that
molto,very
oh,Oh
anche,also
dei,of the
voglio,I want
lui,he
niente,nothing
stato,state
sta,is
grazie,thank you
dove,where is it
abbiamo,we have
tuo,your
nel,In the
posso,I can
allora,so
siamo,are
uno,one
fa,does
vuoi,do you want
hanno,they have
prima,first
noi,we
suo,his
stai,you are
tua,your
due,two
casa,home
ancora,still
sua,her
qualcosa,something
vero,real
su,on
sia,be
sai,you know
sempre,always
dire,to say
loro,they
quella,that
andiamo,here we go
andare,to go
delle,from the
altro,other
vi,you
po,bit
quel,that
li,there
ehi,Hey
devo,I must
signore,man
nella,in the
ad,to
tempo,weather
forse,maybe
certo,certain
vita,life
fuori,out
voi,you
uomo,man
sto,I'm
adesso,now
davvero,really
anni,years
cosi,as
perche,because
dio,God
poi,then
visto,view
ok,ok
via,Street
parte,part
proprio,own
puoi,can
credo,I believe
piu,more
sul,on the
beh,well
volta,time
cose,what's this
quanto,how much
ciao,Hello
nessuno,nobody
amico,friend
dopo,after
può,can
padre,father
fai,you do
vuole,wants
qualcuno,someone
posto,place
lavoro,work
meglio,better
devi,you have to
già,already
ed,and
vedere,to see
giorno,day
cazzo,cock
dai,come on
cui,which
bisogno,need
dal,from
vai,Go
ogni,every
senza,without
ce,there is
vieni,do you come
ecco,Here you are
male,bad
stata,was
troppo,too
qualche,some
signor,Mr
dobbiamo,we have to
dalla,from the
sarà,Sara
tanto,much
avete,you have
mamma,mom
ll,ll
